area;price;postDate;land_certificate;house_direction;balcony_direction;toilet;bedroom;floor;lat;long;property_type
70;14500;17/04/2021;So do;;;;6;7;210203116;1058083282;mat pho
160;48000;17/04/2021;So do;;;7;10;7;210080098;1058263153;mat pho
108;28500;20/04/2021;So do;;;7;5;7;210288459;1058348674;mat pho
73;13700;20/04/2021;So do;dong;dong;5;6;5;210274778;1058342932;mat pho
158;50000;20/04/2021;So do;;;3;3;2;210092389;1058242302;mat pho
110;28000;20/04/2021;So do;;;7;7;7;210265233;1058335705;mat pho
416;260000;20/04/2021;;;;;;6;210092389;1058242302;mat pho
80;31800;20/04/2021;So do;;;7;6;8;210201687;1058122505;mat pho
30;;20/04/2021;So do;;;;1;5;210274906;1058092028;mat pho
62;22500;01/01/2021;;;;;;;210149552;1058123802;mat pho
235;46000;01/01/2021;;;;;;;210097394;105824782;mat pho
68;15000;20/04/2021;So do;;;;6;5;209985017;1058378228;mat pho
90;21900;20/04/2021;So do;;;4;4;4;210187769;1058300914;mat pho
98;33900;20/04/2021;;;;;10;9;210201687;1058122505;mat pho
135;40000;20/04/2021;So do;;;6;5;5;210234132;1058197372;mat pho
136;38500;20/04/2021;;;;;2;2;210225776;1058318544;mat pho
60;17200;01/01/2021;;;;;;;210158112;1058240289;mat pho
75;28500;20/04/2021;So do;;;6;9;5;210210979;1058087914;mat pho
150;72000;20/04/2021;So do;;;8;6;5;210092389;1058242302;mat pho
95;22300;20/04/2021;So do;;;4;4;4;210172878;1058364112;mat pho
110;32000;20/04/2021;So do;;;12;10;7;210210979;1058087914;mat pho
160;50000;20/04/2021;So do;;;1;1;1;210008727;1058289214;mat pho
100;21000;20/04/2021;;;;;;3;210187769;1058300914;mat pho
1000;350000;20/04/2021;So do;;;;3;2;210111134;105836969;mat pho
280;170000;20/04/2021;So do;;;;;9;210143249;1058349181;mat pho
140;35800;20/04/2021;;;;;;5;210201687;1058122505;mat pho
100;22500;20/04/2021;So do;;;2;2;2;210187769;1058300914;mat pho
129;43000;20/04/2021;So do;;;;;4;210234132;1058197372;mat pho
416;260000;20/04/2021;So do;;;;;6;210092389;1058242302;mat pho
75;22000;20/04/2021;So do;;;8;6;6;210201687;1058122505;mat pho
60;7000;20/04/2021;So do;;;2;2;2;210113798;1058375657;mat pho
416;260000;20/04/2021;;;;;;6;210092389;1058242302;mat pho
60;28500;26/04/2021;So do;;;;8;7;210265233;1058335705;mat pho
130;41000;26/04/2021;;;;;;2;210200535;1058246266;mat pho
75;12300;01/01/2021;So do;;;;;;210115303;1058368631;mat pho
92;33000;26/04/2021;So do;;;7;7;8;210057491;1058225012;mat pho
81;22000;26/04/2021;So do;;;;6;5;210187769;1058300914;mat pho
40;18500;26/04/2021;So do;;;4;4;5;210108448;105822425;mat pho
150;49500;26/04/2021;;;;5;6;6;210161056;1058321575;mat pho
55;17200;26/04/2021;So do;;;5;5;5;210274833;1057999497;mat pho
89;34000;26/04/2021;;;;8;8;8;210082189;1058237484;mat pho
100;30000;26/04/2021;;;;;;8;210097394;105824782;mat pho
85;16400;26/04/2021;So do;;;;6;5;210240383;1058026258;mat pho
33;13800;26/04/2021;So do;;;4;;4;210008727;1058289214;mat pho
69;21500;26/04/2021;So do;;;;5;7;210172878;1058364112;mat pho
131;42000;26/04/2021;;;;;;9;210164931;105822814;mat pho
69;21800;26/04/2021;So do;;;;10;7;210172878;1058364112;mat pho
160;53000;26/04/2021;So do;;;6;1;6;210128979;1058354966;mat pho
90;20700;26/04/2021;So do;;;;4;4;210161795;1058286026;mat pho
;17500;01/01/2021;;;;;;;210092389;1058242302;mat pho
89;33000;26/04/2021;So do;;;;;4;210123103;1058289783;mat pho
105;21000;26/04/2021;So do;;;;;3;210145487;1058212321;mat pho
120;32000;01/01/2021;;;;;;;21013056;1058393263;mat pho
210;27000;01/01/2021;;;;;;;210164931;105822814;mat pho
100;22500;26/04/2021;So do;;;;;2;210187769;1058300914;mat pho
130;67800;26/04/2021;So do;;;;;9;210104478;1058184384;mat pho
35;10500;26/04/2021;So do;;;;;4;210119863;1058172464;mat pho
1000;330000;01/01/2021;So do;;;;;;210042141;1058312314;mat pho
98;28000;26/04/2021;So do;dong-Nam;dong-Nam;7;9;6;210164931;105822814;mat pho
81;23000;26/04/2021;So do;;;6;7;5;210187769;1058300914;mat pho
55;21900;01/01/2021;So do;;;;;;210164931;105822814;mat pho
420;215000;26/04/2021;So do;;;;;9;210092389;1058242302;mat pho
248;170000;26/04/2021;So do;;;;;9;210001492;1058312638;mat pho
75;16000;26/04/2021;;;;;;5;210164891;1058227091;mat pho
81;17800;26/04/2021;So do;;;3;3;2;210053431;105825256;mat pho
33;10500;26/04/2021;So do;;;;;3;210119863;1058172464;mat pho
128;39900;26/04/2021;So do;;;;;2;210225776;1058318544;mat pho
100;21500;26/04/2021;So do;;;4;4;3;210281946;1058390746;mat pho
56;30400;01/01/2021;;;;;;;210092389;1058242302;mat pho
1000;330000;01/01/2021;;;;;;;210123495;1058371026;mat pho
40;27200;26/04/2021;So do;;;4;4;5;210092389;1058242302;mat pho
100;;26/04/2021;So do;Tay-Nam;;;;3;210267288;1058260358;mat pho
60;11000;26/04/2021;;;;;;4;210164891;1058227091;mat pho
50;14000;01/01/2021;;;;;;;210180725;1058299495;mat pho
;;01/01/2021;;;;;;;210289833;1058297637;mat pho
25;7400;26/04/2021;So do;;;4;3;4;210104478;1058184384;mat pho
100;10300;26/04/2021;;;;;;4;210225664;1058096175;mat pho
1000;330000;01/01/2021;;;;;;;210123495;1058371026;mat pho
30;13500;26/04/2021;So do;;;;3;6;210089298;1058241052;mat pho
110;41000;26/04/2021;;;;;22;9;210163441;1058218771;mat pho
86;21000;01/01/2021;;;;;;;210180725;1058299495;mat pho
83;5950;28/04/2021;So do;;;;;3;210104478;1058184384;mat pho
;;01/01/2021;;;;;;;210268209;1058258448;mat pho
0;;01/01/2021;;;;;;;210180725;1058299495;mat pho
410;250000;01/01/2021;;;;;;;210164931;105822814;mat pho
40;8500;01/05/2021;So do;;;;;5;210092389;1058242302;mat pho
128;49000;01/05/2021;So do;Tay-Bac;dong-Nam;2;2;1;210066938;1058356348;mat pho
252;40000;01/01/2021;So do;;;;;;210145487;1058212321;mat pho
11000;330000;01/05/2021;So do;;;;;1;210111134;105836969;mat pho
57;14700;01/01/2021;;;;;;;210143557;1058312314;mat pho
80;25900;01/05/2021;So do;;;3;;3;210120152;1058253604;mat pho
165;20000;01/01/2021;;;;;;;210180725;1058299495;mat pho
416;199000;01/05/2021;So do;;;;;5;210092389;1058242302;mat pho
80;25900;01/05/2021;;;;3;1;3;210097394;105824782;mat pho
55;17450;07/05/2021;So do;Tay-Bac;;;;5;210216521;1058010406;mat pho
44;14000;07/05/2021;;;;;;5;210189994;1058212255;mat pho
108;28500;07/05/2021;So do;;;6;5;7;210225776;1058318544;mat pho
66;29000;07/05/2021;So do;;;;;4;210123103;1058289783;mat pho
46;13800;07/05/2021;So do;;;6;6;5;210189994;1058212255;mat pho
80;30000;07/05/2021;So do;;;;3;3;210161056;1058321575;mat pho
1000;330000;01/01/2021;;;;;;;210086145;105834091;mat pho
64;17500;07/05/2021;So do;;;;8;7;210138388;1058118635;mat pho
416;210000;07/05/2021;;;;;;4;210092389;1058242302;mat pho
76;30500;07/05/2021;;;;;;2;210095326;1058201933;mat pho
65;15000;07/05/2021;So do;;;4;4;4;21011875;1058317303;mat pho
1000;330000;01/01/2021;;;;;;;210128979;1058354966;mat pho
42;7500;07/05/2021;So do;;;4;5;4;210092389;1058242302;mat pho
54;13500;07/05/2021;So do;;;3;3;3;2101644;1058326169;mat pho
240;67000;07/05/2021;So do;;;3;3;3;210164931;105822814;mat pho
43;24800;07/05/2021;So do;;;;8;6;210161056;1058321575;mat pho
85;34000;07/05/2021;So do;;;8;8;8;210183528;1058113313;mat pho
57;9200;01/01/2021;;;;;;;210093127;1058194215;mat pho
120;27000;07/05/2021;So do;;;3;3;3;210156983;1058245833;mat pho
45;24800;07/05/2021;;;;6;6;6;210143557;1058312314;mat pho
170;80000;07/05/2021;;;;3;3;4;210289833;1058297637;mat pho
1000;330000;07/05/2021;So do;;;1;1;1;210111134;105836969;mat pho
71;29000;07/05/2021;So do;;;5;5;5;210203116;1058083282;mat pho
239;67000;07/05/2021;;;;;2;3;210163441;1058218771;mat pho
80;23500;07/05/2021;;;;;;2;210200535;1058246266;mat pho
40;10000;09/05/2021;So do;;;4;4;4;210145487;1058212321;mat pho
69;21800;09/05/2021;So do;;;10;10;7;210172878;1058364112;mat pho
112;26800;01/01/2021;So do;;;;;;210053431;105825256;mat pho
86;21500;09/05/2021;So do;;;;;3;210172878;1058364112;mat pho
42;8250;09/05/2021;;;;5;5;5;210092389;1058242302;mat pho
45;30000;09/05/2021;So do;;;;4;5;210092389;1058242302;mat pho
97;47500;09/05/2021;So do;;;;6;7;210265584;1058400383;mat pho
890;995000;01/01/2021;;;;;;;210234132;1058197372;mat pho
100;21500;09/05/2021;So do;;;1;1;2;210092389;1058242302;mat pho
118;40500;09/05/2021;;;;;;5;210123103;1058289783;mat pho
170;32500;01/01/2021;;;;;;;21014989;1058300551;mat pho
45;18800;09/05/2021;;;;;8;7;210092389;1058242302;mat pho
58;18600;09/05/2021;So do;dong-Bac;dong-Bac;4;4;5;210158112;1058240289;mat pho
56;30600;09/05/2021;So do;;;;6;5;210092389;1058242302;mat pho
1000;3300000;09/05/2021;;;;;10;1;210098623;1058380829;mat pho
55;22000;09/05/2021;;;;;4;6;210008727;1058289214;mat pho
50;22000;09/05/2021;;;;;6;6;210161056;1058321575;mat pho
100;22500;09/05/2021;So do;;;3;3;1;210187769;1058300914;mat pho
160;45600;09/05/2021;So do;;;;;6;210161056;1058321575;mat pho
45;24800;09/05/2021;;;;5;4;6;210143557;1058312314;mat pho
45;30000;09/05/2021;So do;dong-Bac;;5;5;5;210092743;1058244967;mat pho
68;16300;09/05/2021;;;;;;5;210200535;1058246266;mat pho
236;68000;01/01/2021;So do;;;;;;210146124;1058192963;mat pho
235;46000;01/01/2021;So do;;;;;;210097394;105824782;mat pho
150;;09/05/2021;So do;;;;;6;210012748;1058393044;mat pho
65;30000;09/05/2021;;;;;6;7;210161056;1058321575;mat pho
45;12000;09/05/2021;So do;dong-Nam;;4;4;5;210189994;1058212255;mat pho
368;78000;09/05/2021;So do;;;;;1;210268209;1058258448;mat pho
50;14500;09/05/2021;;;;;6;6;210172878;1058364112;mat pho
36;7200;09/05/2021;;;;;;3;210265233;1058335705;mat pho
143;72000;09/05/2021;So do;;;6;6;5;210092389;1058242302;mat pho
76;30500;01/01/2021;;;;;;;210095326;1058201933;mat pho
56;;09/05/2021;;;;6;6;5;210240383;1058026258;mat pho
168;23500;09/05/2021;;;;3;3;3;210008232;105829097;mat pho
65;17500;09/05/2021;So do;;;;6;5;210114953;1058166664;mat pho
60;17500;01/01/2021;;;;;;;210114953;1058166664;mat pho
45;24800;01/01/2021;;;;;;;210161056;1058321575;mat pho
107;45000;09/05/2021;So do;;;;;5;210091228;1058244283;mat pho
